Year,State,District,Rape Cases,Abduction Cases,Murder Cases,Total Crimes,Population,Crime Rate,Arrests,Crime Clearance Rate
2019,Assam,Dibrugarh,112,240,25,761,762975,99.74,688,90.41
2020,Meghalaya,Jowai,122,78,54,508,54590,930.57,449,88.39
2022,Meghalaya,Jowai,172,275,50,803,962404,83.44,446,55.54
2019,Jharkhand,Ranchi,112,215,64,610,81257,750.7,381,62.46
2018,Meghalaya,Jowai,116,186,53,527,1053764,50.01,330,62.62
2021,Maharashtra,Pune,22,280,44,464,1938192,23.94,355,76.51
2019,Andhra Pradesh,Visakhapatnam,96,177,84,481,354191,135.8,261,54.26
2018,Tamil Nadu,Madurai,178,263,62,655,1277277,51.28,616,94.05
2019,Uttarakhand,Haridwar,48,289,26,643,1039869,61.83,343,53.34
2020,Karnataka,Mangaluru,155,227,67,626,1934323,32.36,430,68.69
2022,Maharashtra,Mumbai,31,123,52,518,843883,61.38,304,58.69
2019,Rajasthan,Jodhpur,39,62,44,446,105356,423.33,287,64.35
2018,Punjab,Amritsar,35,31,80,447,1653020,27.04,269,60.18
2019,Tamil Nadu,Coimbatore,68,116,17,295,102586,287.56,195,66.1
2018,Jharkhand,Ranchi,123,187,78,712,1179953,60.34,499,70.08
2021,Sikkim,Gyalshing,196,146,10,466,1629764,28.59,314,67.38
2020,Bihar,Gaya,103,288,84,834,62537,1333.61,620,74.34
2022,Meghalaya,Shillong,65,127,18,552,946736,58.31,372,67.39
2022,Punjab,Amritsar,179,295,14,790,1183272,66.76,470,59.49
2022,Tripura,Agartala,195,48,6,592,89122,664.26,344,58.11
2020,Telangana,Hyderabad,185,105,35,784,1370991,57.18,658,83.93
2021,Gujarat,Ahmedabad,89,56,45,514,411500,124.91,281,54.67
2019,Kerala,Thiruvananthapuram,155,261,43,862,1188838,72.51,736,85.38
2022,Haryana,Faridabad,184,34,54,612,1081247,56.6,527,86.11
2021,Himachal Pradesh,Kangra,112,221,96,626,251236,249.17,615,98.24
2021,Punjab,Jalandhar,174,197,68,703,283477,247.99,427,60.74
2020,Telangana,Hyderabad,169,183,26,468,1933280,24.21,263,56.2
2019,Lakshadweep,Minicoy,29,283,15,734,818072,89.72,671,91.42
2019,Mizoram,Aizawl,198,61,84,624,796970,78.3,601,96.31
2018,Maharashtra,Nagpur,98,34,73,510,234809,217.2,425,83.33
2021,Rajasthan,Jodhpur,89,136,98,546,1731517,31.53,303,55.49
2020,Madhya Pradesh,Gwalior,40,120,36,608,1549112,39.25,472,77.63
2020,Mizoram,Lunglei,38,104,43,291,1146885,25.37,195,67.01
2020,Nagaland,Kohima,11,280,68,819,1658175,49.39,766,93.53
2021,Maharashtra,Pune,167,179,73,762,608968,125.13,756,99.21
2019,Meghalaya,Tura,176,81,57,372,927498,40.11,217,58.33
2019,Chhattisgarh,Raipur,28,256,31,564,865509,65.16,420,74.47
2022,Andhra Pradesh,Guntur,66,225,58,610,1654169,36.88,407,66.72
2022,Meghalaya,Jowai,197,74,73,471,295153,159.58,281,59.66
2022,Tripura,Udaipur,198,84,86,802,1240249,64.66,661,82.42
2019,Karnataka,Mangaluru,144,230,92,786,1275905,61.6,661,84.1
2021,West Bengal,Darjeeling,188,295,30,777,970719,80.04,396,50.97
2019,Goa,Vasco da Gama,134,89,8,617,846556,72.88,338,54.78
2018,Nagaland,Kohima,37,193,66,467,1961804,23.8,356,76.23
2019,Dadra and Nagar Haveli and Daman and Diu,Daman,76,249,65,524,1466657,35.73,285,54.39
2019,Delhi,Central Delhi,156,230,77,669,353545,189.23,491,73.39
2020,Tamil Nadu,Coimbatore,71,207,80,664,1658772,40.03,493,74.25
2018,Meghalaya,Jowai,98,227,46,451,916521,49.21,375,83.15
2022,Assam,Guwahati,153,77,91,416,71573,581.22,391,93.99
2020,Jammu and Kashmir,Anantnag,62,32,20,405,517978,78.19,312,77.04
2022,Rajasthan,Jodhpur,136,58,69,761,591918,128.57,477,62.68
2018,Assam,Guwahati,178,209,33,546,668302,81.7,487,89.19
2019,Arunachal Pradesh,Itanagar,156,271,16,881,1706428,51.63,589,66.86
2022,Lakshadweep,Minicoy,85,283,22,515,281020,183.26,468,90.87
2021,Assam,Dibrugarh,21,149,53,339,185237,183.01,213,62.83
2019,Jammu and Kashmir,Anantnag,178,116,71,676,1446880,46.72,656,97.04
2018,Tripura,Agartala,47,142,34,290,110537,262.36,267,92.07
2018,Andaman and Nicobar Islands,Diglipur,153,265,70,743,1944392,38.21,695,93.54
2020,Andhra Pradesh,Vijayawada,86,284,50,803,1592599,50.42,461,57.41
2021,Puducherry,Mahe,200,78,25,793,829383,95.61,466,58.76
2022,Himachal Pradesh,Mandi,127,247,65,525,1509615,34.78,391,74.48
2020,Dadra and Nagar Haveli and Daman and Diu,Diu,59,48,39,453,676420,66.97,318,70.2
2020,Dadra and Nagar Haveli and Daman and Diu,Diu,92,155,73,553,1550312,35.67,472,85.35
2021,Puducherry,Karaikal,188,258,55,678,1546575,43.84,378,55.75
2022,Andhra Pradesh,Vijayawada,79,248,24,813,1898278,42.83,756,92.99
2020,Arunachal Pradesh,Tawang,143,271,85,659,1312864,50.2,606,91.96
2021,Meghalaya,Shillong,84,54,63,566,140372,403.21,465,82.16
2019,Bihar,Muzaffarpur,183,50,72,751,1209193,62.11,514,68.44
2022,Andaman and Nicobar Islands,Diglipur,194,181,36,774,469998,164.68,716,92.51
2019,Delhi,New Delhi,184,97,17,544,513673,105.9,299,54.96
2020,Tripura,Agartala,163,64,48,575,195091,294.73,459,79.83
2021,Maharashtra,Mumbai,102,264,64,676,1971503,34.29,416,61.54
2021,Karnataka,Bengaluru,39,25,25,462,122767,376.32,309,66.88
2022,Gujarat,Surat,72,183,28,649,1625054,39.94,581,89.52
2022,Punjab,Jalandhar,154,63,7,296,945799,31.3,289,97.64
2019,Uttar Pradesh,Kanpur,38,34,10,481,1772893,27.13,351,72.97
2018,Andhra Pradesh,Vijayawada,195,249,89,926,1416438,65.38,546,58.96
2021,Uttar Pradesh,Lucknow,162,70,77,403,1815599,22.2,333,82.63
2018,Jammu and Kashmir,Jammu,171,173,64,661,1313108,50.34,522,78.97
2021,Lakshadweep,Minicoy,76,240,58,720,1761424,40.88,519,72.08
2022,Ladakh,Kargil,50,186,21,727,704402,103.21,379,52.13
2019,Madhya Pradesh,Bhopal,159,191,41,721,318079,226.67,581,80.58
2020,Sikkim,Namchi,160,252,38,660,1296263,50.92,416,63.03
2022,Sikkim,Gangtok,20,253,29,674,1228826,54.85,664,98.52
2019,Tamil Nadu,Chennai,59,163,35,336,518657,64.78,226,67.26
2020,Kerala,Kochi,81,128,71,488,1585638,30.78,353,72.34
2019,Bihar,Gaya,192,100,23,395,564743,69.94,220,55.7
2018,Madhya Pradesh,Bhopal,120,222,20,707,1046776,67.54,489,69.17
2019,Meghalaya,Tura,191,209,19,887,484548,183.06,625,70.46
2021,Arunachal Pradesh,Pasighat,10,48,100,525,872921,60.14,286,54.48
2021,Chhattisgarh,Bilaspur,190,35,18,303,1098204,27.59,183,60.4
2018,Dadra and Nagar Haveli and Daman and Diu,Diu,110,60,85,738,1094957,67.4,582,78.86
2020,Karnataka,Mysuru,76,106,100,544,1313897,41.4,456,83.82
2019,Uttarakhand,Nainital,42,126,32,680,1268428,53.61,442,65
2022,Chhattisgarh,Bilaspur,53,173,28,515,1845737,27.9,474,92.04
2018,Telangana,Nizamabad,139,172,31,660,229610,287.44,461,69.85
2022,Kerala,Kozhikode,12,188,63,601,660748,90.96,413,68.72
2020,Madhya Pradesh,Bhopal,65,233,47,524,1431336,36.61,477,91.03
2019,Kerala,Kochi,137,39,20,577,1628484,35.43,352,61.01
2019,Meghalaya,Shillong,137,225,70,755,251759,299.89,426,56.42
2019,Tripura,Udaipur,152,298,23,727,585157,124.24,451,62.04
2019,Chhattisgarh,Durg,75,72,90,716,376297,190.28,456,63.69
2021,Chhattisgarh,Raipur,31,205,74,772,500161,154.35,772,100
2022,Maharashtra,Pune,16,61,86,503,1601551,31.41,447,88.87
2018,Ladakh,Leh,104,56,73,577,1977790,29.17,414,71.75
2021,Andaman and Nicobar Islands,Diglipur,105,80,81,615,1103434,55.74,490,79.67
2019,Chhattisgarh,Bilaspur,12,205,32,554,250488,221.17,332,59.93
2022,Puducherry,Mahe,116,98,36,421,1133451,37.14,310,73.63
2022,Himachal Pradesh,Kangra,21,287,23,779,571044,136.42,664,85.24
2018,Maharashtra,Pune,82,266,57,855,1031771,82.87,701,81.99
2020,Nagaland,Kohima,197,287,53,992,624597,158.82,630,63.51
2021,Andhra Pradesh,Visakhapatnam,53,173,66,629,403273,155.97,528,83.94
2019,Manipur,Thoubal,56,47,30,362,1048454,34.53,278,76.8
2019,Telangana,Hyderabad,91,57,48,415,886119,46.83,286,68.92
2022,Uttarakhand,Haridwar,55,132,57,532,1895414,28.07,288,54.14
2018,Tripura,Agartala,74,194,90,708,534552,132.45,433,61.16
2018,Mizoram,Champhai,109,43,36,424,1473102,28.78,332,78.3
2018,Chhattisgarh,Raipur,94,186,50,584,754178,77.44,446,76.37
2019,Jammu and Kashmir,Srinagar,31,202,68,482,1509159,31.94,321,66.6
2021,Punjab,Amritsar,152,146,60,634,746273,84.96,532,83.91
2019,Punjab,Jalandhar,169,90,51,554,788483,70.26,365,65.88
2022,Uttar Pradesh,Kanpur,26,105,46,257,508336,50.56,146,56.81
2020,Tripura,Kailashahar,118,243,82,897,1412002,63.53,472,52.62
2018,Uttarakhand,Dehradun,193,254,32,916,1266312,72.34,853,93.12
2018,Arunachal Pradesh,Itanagar,75,142,45,371,1598570,23.21,360,97.04
2018,Jammu and Kashmir,Jammu,26,261,55,833,1074183,77.55,657,78.87
2021,Maharashtra,Mumbai,121,97,8,383,1658589,23.09,214,55.87
2019,Tripura,Agartala,123,47,57,375,877306,42.74,226,60.27
2020,Madhya Pradesh,Bhopal,174,71,56,660,831508,79.37,476,72.12
2019,West Bengal,Siliguri,51,43,67,653,1393387,46.86,406,62.17
2018,Uttarakhand,Dehradun,145,244,18,594,1011116,58.75,359,60.44
2021,Delhi,Central Delhi,122,258,22,673,805626,83.54,516,76.67
2020,Punjab,Jalandhar,113,283,63,678,342073,198.2,342,50.44
2020,Gujarat,Ahmedabad,172,130,41,709,104933,675.67,697,98.31
2018,Andaman and Nicobar Islands,Diglipur,43,194,28,362,788087,45.93,265,73.2
2019,Jammu and Kashmir,Jammu,139,264,33,521,539644,96.55,354,67.95
2019,Punjab,Ludhiana,77,72,88,479,311194,153.92,376,78.5
2018,Mizoram,Champhai,133,144,54,493,961536,51.27,439,89.05
2018,Andhra Pradesh,Guntur,118,140,47,694,153002,453.59,570,82.13
2018,Jharkhand,Jamshedpur,94,273,30,630,1609752,39.14,534,84.76
2020,Jammu and Kashmir,Srinagar,122,236,54,825,1490315,55.36,566,68.61
2020,Puducherry,Karaikal,46,157,61,370,1323038,27.97,229,61.89
2019,Delhi,New Delhi,26,98,82,262,1039149,25.21,203,77.48
2019,Puducherry,Karaikal,16,283,93,573,1766374,32.44,295,51.48
2021,Arunachal Pradesh,Tawang,86,20,63,459,1786035,25.7,346,75.38
2021,Jammu and Kashmir,Anantnag,97,287,40,916,674095,135.89,697,76.09
2020,Tripura,Kailashahar,171,22,18,657,1157555,56.76,351,53.42
2022,Arunachal Pradesh,Tawang,17,288,27,482,837507,57.55,477,98.96
2022,Sikkim,Gyalshing,180,70,81,386,1279167,30.18,334,86.53
2021,Puducherry,Puducherry,16,21,16,376,1570334,23.94,218,57.98
2020,Maharashtra,Pune,171,287,43,814,975796,83.42,499,61.3
2020,Ladakh,Leh,73,229,43,721,1419365,50.8,713,98.89
2021,Puducherry,Mahe,140,23,45,686,665989,103,591,86.15
2019,Dadra and Nagar Haveli and Daman and Diu,Diu,169,270,31,967,752018,128.59,694,71.77
2019,Andaman and Nicobar Islands,Diglipur,140,210,60,799,247472,322.86,529,66.21
2020,Puducherry,Mahe,107,237,87,813,89177,911.67,440,54.12
2018,Nagaland,Dimapur,171,80,40,400,1672848,23.91,254,63.5
2020,Gujarat,Ahmedabad,32,52,37,370,1450750,25.5,272,73.51
2021,Madhya Pradesh,Indore,167,151,23,553,1129082,48.98,552,99.82
2018,Puducherry,Mahe,180,24,18,402,1821047,22.08,230,57.21
2021,Jammu and Kashmir,Srinagar,53,299,17,511,1713098,29.83,390,76.32
2019,Madhya Pradesh,Gwalior,169,284,85,637,352365,180.78,625,98.12
2020,Arunachal Pradesh,Itanagar,149,219,35,879,1854595,47.4,769,87.49
2020,Gujarat,Surat,18,208,45,701,290414,241.38,475,67.76
2022,Lakshadweep,Kavaratti,91,30,90,684,204707,334.14,585,85.53
2018,Haryana,Faridabad,160,243,53,567,480853,117.92,431,76.01
2018,Manipur,Imphal,169,202,10,640,903257,70.85,611,95.47
2021,Andhra Pradesh,Visakhapatnam,50,179,73,423,920318,45.96,298,70.45
2022,Ladakh,Leh,120,295,90,900,1975803,45.55,860,95.56
2022,Mizoram,Champhai,22,201,32,565,935336,60.41,391,69.2
2020,Assam,Silchar,170,133,45,812,306464,264.96,751,92.49
2022,Jharkhand,Ranchi,162,280,79,700,793895,88.17,530,75.71
2019,Karnataka,Bengaluru,30,145,78,423,242149,174.69,357,84.4
2019,Bihar,Gaya,42,208,90,748,1060978,70.5,518,69.25
2021,Andaman and Nicobar Islands,Diglipur,28,155,55,583,1029100,56.65,516,88.51
2018,Himachal Pradesh,Mandi,151,144,86,610,1920631,31.76,561,91.97
2022,Gujarat,Surat,20,86,68,307,1276633,24.05,182,59.28
2019,Odisha,Cuttack,156,137,29,449,1076705,41.7,228,50.78
2022,Maharashtra,Pune,133,108,10,663,99494,666.37,596,89.89
2020,Tripura,Agartala,186,107,28,662,918082,72.11,513,77.49
2021,Arunachal Pradesh,Tawang,46,181,21,649,225298,288.06,434,66.87
2020,Nagaland,Mokokchung,120,200,94,465,1198212,38.81,464,99.78
2019,Nagaland,Dimapur,45,284,78,660,106816,617.88,366,55.45
2021,Nagaland,Mokokchung,32,207,7,331,525166,63.03,221,66.77
2019,Puducherry,Karaikal,160,266,49,665,130864,508.16,425,63.91
2019,Uttarakhand,Nainital,23,108,96,554,812856,68.15,541,97.65
2021,Bihar,Gaya,141,243,9,858,978497,87.69,826,96.27
2021,Puducherry,Mahe,152,300,91,1043,1848496,56.42,19,97.7
2018,Tripura,Udaipur,74,234,50,705,893558,78.9,635,90.07
2020,Karnataka,Bengaluru,186,280,96,959,273438,350.72,737,76.85
2022,Mizoram,Aizawl,163,189,13,835,943917,88.46,465,55.69
2022,Nagaland,Dimapur,102,123,85,627,633087,99.04,315,50.24
2020,Goa,Panaji,87,25,14,349,1243883,28.06,270,77.36
2018,Maharashtra,Pune,10,21,57,201,74505,269.78,193,96.02
2019,Delhi,New Delhi,194,236,36,662,351713,188.22,583,88.07
2018,Dadra and Nagar Haveli and Daman and Diu,Diu,55,25,67,270,1030303,26.21,169,62.59
2018,Maharashtra,Pune,84,260,97,803,1683017,47.71,631,78.58
2021,Telangana,Hyderabad,135,138,87,624,592251,105.36,505,80.93
2018,West Bengal,Darjeeling,154,84,32,572,684744,83.53,571,99.83
2018,Maharashtra,Pune,73,135,100,500,1424447,35.1,271,54.2
2022,Delhi,South Delhi,89,189,15,605,361852,167.2,303,50.08
2019,Jharkhand,Jamshedpur,46,244,39,686,845116,81.17,580,84.55
2018,Arunachal Pradesh,Tawang,17,181,35,399,1942786,20.54,346,86.72
2020,Karnataka,Bengaluru,55,144,33,365,1524800,23.94,288,78.9
2021,Haryana,Faridabad,18,255,84,798,130359,612.16,581,72.81
2020,Telangana,Hyderabad,121,44,47,687,1997216,34.4,683,99.42
2019,Gujarat,Ahmedabad,183,44,24,709,884831,80.13,528,74.47
2019,Karnataka,Mangaluru,68,71,40,256,1254110,20.41,247,96.48
2018,Telangana,Nizamabad,57,75,22,257,1951142,13.17,128,49.81
2021,Maharashtra,Nagpur,86,288,86,812,1297446,62.58,632,77.83
2019,Punjab,Ludhiana,100,57,51,540,1214006,44.48,280,51.85
2021,Uttarakhand,Haridwar,34,226,39,670,752135,89.08,654,97.61
2022,Maharashtra,Mumbai,133,283,91,843,713768,118.11,558,66.19
2020,Kerala,Kozhikode,99,263,18,567,797978,71.05,484,85.36
2018,West Bengal,Siliguri,70,228,84,796,1226711,64.89,523,65.7
2019,Gujarat,Surat,136,257,70,586,959098,61.1,370,63.14
2020,Arunachal Pradesh,Pasighat,158,148,100,694,1769240,39.23,405,58.36
2020,Rajasthan,Udaipur,158,273,92,822,1932617,42.53,630,76.64
2021,Maharashtra,Mumbai,36,120,24,275,1883957,14.6,143,52
2018,Andhra Pradesh,Visakhapatnam,145,182,89,683,963121,70.92,525,76.87
2021,Gujarat,Vadodara,149,150,6,684,1624641,42.1,623,91.08
2018,Punjab,Jalandhar,146,246,65,848,807937,104.96,440,51.89
2020,Jammu and Kashmir,Srinagar,11,231,58,374,678552,55.12,253,67.65
2021,Tamil Nadu,Coimbatore,162,249,99,749,1795579,41.71,583,77.84
2020,Andaman and Nicobar Islands,Car Nicobar,92,94,33,533,1799993,29.61,476,89.31
2021,Chhattisgarh,Bilaspur,105,61,92,393,313356,125.42,270,68.7
2022,Dadra and Nagar Haveli and Daman and Diu,Daman,172,241,51,837,175647,476.52,792,94.62
2020,Mizoram,Champhai,52,224,25,526,1690199,31.12,520,98.86
2019,Odisha,Cuttack,146,152,50,581,1767018,32.88,325,55.94
2021,Haryana,Faridabad,47,299,46,656,97579,672.28,636,96.95
2018,Tripura,Kailashahar,27,38,17,206,1905690,10.81,177,85.92
2021,Kerala,Kochi,69,88,54,291,879034,33.1,265,81.07
2022,Tamil Nadu,Madurai,91,120,56,616,1331383,46.27,527,85.55
2019,Arunachal Pradesh,Pasighat,123,160,61,639,181442,352.18,503,78.72
2018,Punjab,Amritsar,107,176,22,572,674155,84.85,530,92.66
2018,Dadra and Nagar Haveli and Daman and Diu,Daman,185,46,74,674,577149,116.78,551,81.75
2019,Puducherry,Puducherry,122,22,15,571,1741740,32.78,446,78.11
2022,Madhya Pradesh,Bhopal,20,105,5,320,1698992,18.83,239,74.69
2021,Odisha,Cuttack,48,256,69,548,1284972,42.65,296,54.01
2018,Himachal Pradesh,Kangra,159,194,25,613,811088,75.58,446,72.76
2021,Jammu and Kashmir,Srinagar,137,144,26,375,101976,367.73,288,76.8
2019,Gujarat,Ahmedabad,19,22,10,379,300146,126.27,247,65.17
2021,Haryana,Gurugram,15,22,31,189,558934,33.81,138,73.02
2020,Punjab,Ludhiana,168,242,63,550,575101,95.64,308,56
2021,Kerala,Kochi,13,26,38,139,429471,32.37,89,64.03
2021,Tamil Nadu,Chennai,23,201,20,363,1439185,25.22,189,52.07
2018,Nagaland,Mokokchung,181,282,79,786,1501377,52.35,626,79.64
2019,Assam,Guwahati,105,172,16,748,1965909,38.05,716,95.72
2019,Gujarat,Vadodara,108,247,63,760,1068631,71.12,658,86.58
2020,Dadra and Nagar Haveli and Daman and Diu,Daman,10,133,48,475,170225,279.04,447,94.11
2020,Chhattisgarh,Bilaspur,46,232,61,606,1836895,32.99,341,56.27
2022,Manipur,Thoubal,172,230,88,660,108525,608.15,547,82.88
2019,Uttar Pradesh,Kanpur,14,103,58,650,816822,79.58,1524,80.62
2021,Puducherry,Karaikal,60,295,12,628,1940504,32.36,369,58.76
2018,Rajasthan,Jodhpur,136,291,6,731,428914,170.43,468,64.02
2022,Telangana,Warangal,150,276,62,754,229062,329.17,591,78.38
2019,Nagaland,Mokokchung,109,105,95,784,1815837,43.18,415,52.93
2019,Nagaland,Kohima,109,56,74,378,168316,224.58,338,89.42
2019,Andaman and Nicobar Islands,Port Blair,172,29,82,659,1497205,44.02,467,70.86
2020,Arunachal Pradesh,Pasighat,58,62,19,453,998155,45.38,317,69.98
2020,Uttar Pradesh,Kanpur,86,170,8,406,383772,105.79,311,76.6
2020,Lakshadweep,Agatti,144,36,43,572,769450,74.34,288,50.35
2019,Maharashtra,Nagpur,174,154,91,693,1128901,61.39,446,64.36
2022,Assam,Guwahati,78,76,12,534,1314635,40.62,423,79.21
2020,Assam,Silchar,115,58,91,677,1757908,38.51,420,62.04
2019,Manipur,Churachandpur,197,219,87,936,821318,113.96,755,80.66
2020,Rajasthan,Jaipur,103,34,94,681,1852039,36.77,426,62.56
2020,Andaman and Nicobar Islands,Car Nicobar,10,150,62,305,481703,63.32,192,62.95
2021,Himachal Pradesh,Shimla,66,242,98,591,1525604,38.74,387,65.48
2021,Tamil Nadu,Coimbatore,165,120,88,445,808698,55.03,325,73.03
2019,Sikkim,Namchi,169,31,17,550,1538092,35.76,478,86.91
2018,Tamil Nadu,Coimbatore,114,85,44,367,728400,50.38,330,89.92
2022,Madhya Pradesh,Indore,157,150,81,488,1726498,28.27,453,92.83
2020,Chhattisgarh,Bilaspur,73,244,86,456,1620430,28.14,239,52.41
2019,Kerala,Kozhikode,129,75,9,338,1902150,17.77,276,81.66
2021,Himachal Pradesh,Mandi,74,98,82,672,1331111,50.48,500,74.4
2019,Punjab,Ludhiana,120,100,7,379,457177,82.9,357,94.2
2022,Mizoram,Aizawl,101,218,81,785,1592549,49.29,590,75.16
2019,Karnataka,Mysuru,154,198,36,801,769073,104.15,614,76.65
2021,Karnataka,Bengaluru,85,77,73,644,1455300,44.25,444,68.94
2022,Uttar Pradesh,Agra,157,49,31,631,729550,86.49,485,76.86
2022,Meghalaya,Shillong,182,295,28,924,1061962,87.01,622,67.32
2022,Arunachal Pradesh,Itanagar,153,220,33,879,586374,149.9,573,65.19
2018,Andaman and Nicobar Islands,Port Blair,17,136,43,456,1200960,37.97,321,70.39
2018,Odisha,Bhubaneswar,142,39,44,297,717698,41.38,221,74.41
2022,Lakshadweep,Kavaratti,195,84,28,744,1976647,37.64,545,73.25
2018,Maharashtra,Pune,146,72,78,539,680054,79.26,483,89.61
2019,Tamil Nadu,Madurai,71,246,85,502,198080,253.43,387,77.09
2020,Uttar Pradesh,Kanpur,32,283,56,734,354426,207.1,697,94.96
2018,Rajasthan,Jaipur,15,82,41,195,292323,66.71,115,58.97
2022,Delhi,Central Delhi,114,88,48,661,971974,68.01,374,56.58
2021,Rajasthan,Jaipur,63,90,11,466,1963448,23.73,358,76.82
2018,Karnataka,Bengaluru,188,293,60,1015,658662,154.1,899,88.57
2018,Lakshadweep,Agatti,58,121,10,316,509337,62.04,303,95.89
2019,Rajasthan,Udaipur,191,106,98,895,1976787,45.28,780,87.15
2022,Nagaland,Mokokchung,166,113,77,453,226389,200.1,292,64.46
2021,Delhi,South Delhi,120,210,66,657,357009,184.03,403,61.34
2021,Rajasthan,Udaipur,60,57,82,688,356232,193.13,348,50.58
2018,Uttar Pradesh,Lucknow,143,147,47,494,1644836,30.03,438,88.66
2020,Tamil Nadu,Chennai,155,217,45,746,628915,118.62,723,96.92
2018,Meghalaya,Shillong,29,132,69,631,1027214,61.43,488,77.34
2018,Dadra and Nagar Haveli and Daman and Diu,Daman,51,255,99,771,1720837,44.8,571,74.06
2021,West Bengal,Kolkata,44,240,81,689,1580299,43.6,607,88.1
2021,Bihar,Patna,167,155,18,630,1331567,47.31,348,55.24
2021,Jammu and Kashmir,Jammu,182,72,22,573,1028150,55.73,553,96.51
2018,Rajasthan,Jodhpur,200,215,100,966,1129128,85.55,932,96.48
2022,Madhya Pradesh,Indore,162,192,26,730,821744,88.84,451,61.78
2020,Lakshadweep,Kavaratti,125,207,15,482,401682,120,253,52.49
2022,Sikkim,Gyalshing,165,147,27,657,838050,78.4,389,59.21
2018,West Bengal,Darjeeling,119,52,100,655,220278,297.35,389,59.39
2021,Assam,Guwahati,84,32,82,649,1034841,62.71,415,63.94
2022,Mizoram,Champhai,81,232,50,463,332606,139.2,293,63.28
2019,Lakshadweep,Minicoy,38,145,80,559,429240,130.23,389,69.59
2022,Chandigarh,Chandigarh,10,180,84,413,110089,375.15,284,68.77
2022,Puducherry,Puducherry,19,162,35,564,1763686,31.98,441,78.19
2018,Assam,Guwahati,40,265,63,833,660452,126.13,687,82.47
2019,Puducherry,Karaikal,67,143,31,383,282234,135.7,305,79.63
2022,Maharashtra,Pune,102,43,76,472,1787113,26.41,378,80.08
2018,Bihar,Patna,151,77,6,582,397509,146.41,508,87.29
2020,Tripura,Udaipur,134,141,49,475,728645,65.19,409,86.11
2022,Telangana,Nizamabad,145,76,5,407,646268,62.98,386,94.84
2020,Odisha,Cuttack,152,214,84,879,1121006,78.41,812,92.38
2021,Gujarat,Surat,143,23,89,557,1526069,36.5,342,61.4
2021,Gujarat,Vadodara,18,186,100,548,558702,98.08,474,86.5
2019,Madhya Pradesh,Bhopal,53,29,64,205,1827005,11.22,1119,58.05
2020,Jammu and Kashmir,Srinagar,162,179,8,476,665432,71.53,317,66.6
2020,Sikkim,Namchi,147,162,87,490,699596,70.04,302,61.63
2018,Lakshadweep,Agatti,61,87,76,599,671910,89.15,357,59.6
2022,Arunachal Pradesh,Itanagar,199,182,52,864,869338,99.39,478,55.32
2022,Haryana,Gurugram,185,102,97,580,249539,232.43,291,50.17
2019,Punjab,Jalandhar,68,230,40,654,610383,107.15,469,71.71
2022,Jharkhand,Dhanbad,120,95,99,663,1922329,34.49,424,63.95
2018,Mizoram,Aizawl,137,145,41,694,719209,96.49,353,50.86
2019,Dadra and Nagar Haveli and Daman and Diu,Diu,15,210,83,452,882438,51.22,244,53.98
2020,Tamil Nadu,Chennai,188,271,95,665,376350,176.7,630,94.74
2021,Sikkim,Namchi,65,293,99,900,1802203,49.94,637,70.78
2022,Chhattisgarh,Bilaspur,132,59,35,556,270627,205.45,519,93.35
2022,Chandigarh,Chandigarh,17,279,15,797,1527426,52.18,612,76.79
2021,Uttarakhand,Haridwar,15,86,98,389,1062766,36.6,280,71.98
2019,Chandigarh,Chandigarh,176,256,28,615,681251,90.28,530,86.18
2022,Meghalaya,Jowai,164,217,27,470,495670,94.82,352,74.89
2018,Mizoram,Aizawl,24,20,54,588,1150855,51.09,514,87.41
2019,Nagaland,Kohima,163,57,7,475,162029,293.16,348,73.26
2021,Assam,Silchar,146,241,74,727,1207896,60.19,508,69.88
2018,Dadra and Nagar Haveli and Daman and Diu,Silvassa,187,37,37,528,868407,60.8,518,98.11
2021,Jharkhand,Ranchi,49,286,51,760,88529,858.48,573,75.39
2022,Tripura,Kailashahar,154,298,36,816,486143,167.85,806,98.77
2022,West Bengal,Siliguri,132,103,64,505,485636,103.99,359,71.09
2021,Nagaland,Mokokchung,102,209,39,633,349067,181.34,416,65.72
2021,Delhi,Central Delhi,116,276,88,835,1741778,47.94,721,86.35
2020,Gujarat,Surat,90,84,9,456,561688,81.18,414,90.79
2019,Andaman and Nicobar Islands,Car Nicobar,30,77,50,246,353623,69.57,213,86.59
2018,Manipur,Churachandpur,196,201,22,674,504802,133.52,397,58.9
2018,Karnataka,Mangaluru,21,273,6,532,1087949,48.9,527,99.06
2020,Haryana,Gurugram,95,188,54,480,846266,56.72,395,82.29
2021,Assam,Dibrugarh,45,135,10,590,1307862,45.11,498,84.41
2020,Jharkhand,Jamshedpur,116,254,28,498,761164,65.43,444,89.16
2021,Uttarakhand,Haridwar,66,265,20,435,459597,94.65,353,81.15
2020,Himachal Pradesh,Kangra,161,90,48,634,1737901,36.48,350,55.21
2021,Andhra Pradesh,Guntur,124,297,88,876,598601,146.34,785,89.61
2019,Maharashtra,Pune,152,104,55,558,760304,73.39,420,75.27
2019,Manipur,Thoubal,82,56,87,713,1516931,47,629,88.22
2019,Kerala,Kochi,75,219,79,802,1397502,57.39,433,53.99
2022,Gujarat,Surat,63,267,47,510,1066511,47.82,340,66.67
2019,Madhya Pradesh,Indore,165,214,68,634,95584,663.29,599,94.48
2020,Jammu and Kashmir,Srinagar,96,164,87,479,1115659,42.93,293,61.17
